FL_DATE,AIRLINE_ID,FL_NUM,REGION,ORIGIN_STATE_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,SCH_ARR_TIME,ACT_ARR_TIME,ARR_DELAY,SCH_DEPT_TIME,ACT_DEPT_TIME,DEPT_DELAY
12/27/2017,19790,1996,Midwest,Minnesota,Minneapolis,New York,10:59,10:05,-54,7:00,6:58,-2
12/27/2017,19805,306,West,Colorado,Eagle,New York,14:35,13:44,-51,8:19,8:10,-9
12/27/2017,19805,44,West,Washington,Seattle,New York,16:03,15:14,-49,7:35,7:29,-6
12/27/2017,19790,1092,West,Wyoming,Jackson,Salt Lake City,8:36,7:47,-49,7:00,6:52,-8
12/27/2017,19790,1895,West,Utah,Salt Lake City,Baltimore,6:02,5:13,-49,23:45,23:38,-7
12/27/2017,19805,1744,West,Washington,Seattle,Los Angeles,8:53,8:05,-48,5:50,5:44,-6
12/27/2017,19790,1219,West,California,Los Angeles,Kahului,19:36,18:50,-46,15:35,15:34,-1
12/27/2017,19977,1758,West,Colorado,Denver,Kona,16:36,15:50,-46,11:45,11:43,-2
12/27/2017,19790,1088,Midwest,Minnesota,Minneapolis,Anchorage,20:54,20:09,-45,17:30,17:29,-1
12/27/2017,19977,1456,West,California,San Francisco,Newark,9:24,8:39,-45,0:56,0:48,-8
12/27/2017,19790,1632,West,Utah,Salt Lake City,New York,15:30,14:45,-45,8:50,8:56,6
12/27/2017,19790,2540,West,Washington,Seattle,Raleigh/Durham,19:47,19:02,-45,11:34,11:33,-1
12/27/2017,19790,1884,West,California,Los Angeles,Washington,16:30,15:46,-44,8:20,8:16,-4
12/27/2017,19790,2194,West,Colorado,Denver,New York,13:55,13:11,-44,8:00,7:58,-2
12/27/2017,19790,1165,West,Montana,Bozeman,Minneapolis,20:35,19:52,-43,17:00,16:48,-12
12/27/2017,19790,1439,Midwest,Minnesota,Minneapolis,Fort Myers,22:26,21:43,-43,17:45,17:41,-4
12/27/2017,19805,467,West,California,San Francisco,Philadelphia,9:13,8:31,-42,0:56,0:43,-13
12/27/2017,19790,1691,West,Colorado,Montrose/Delta,Atlanta,18:35,17:53,-42,13:15,13:10,-5
12/27/2017,19790,2590,West,Washington,Seattle,New York,7:25,6:43,-42,23:07,23:01,-6
12/27/2017,19805,430,West,California,San Francisco,Charlotte,8:09,7:28,-41,0:20,0:15,-5
12/27/2017,19790,1071,Midwest,Minnesota,Minneapolis,New York,18:52,18:11,-41,15:03,14:59,-4
12/27/2017,19790,1448,West,Utah,Salt Lake City,Chicago,13:45,13:04,-41,9:30,9:25,-5
12/27/2017,19977,1600,West,Arizona,Phoenix,Newark,12:44,12:03,-41,6:13,6:07,-6
12/27/2017,19977,1774,West,Colorado,Denver,Philadelphia,15:21,14:40,-41,9:46,9:37,-9
12/27/2017,19790,2470,Midwest,Minnesota,Minneapolis,Phoenix,20:24,19:43,-41,17:35,17:31,-4
12/27/2017,19977,596,West,Colorado,Denver,New York,18:22,17:42,-40,12:41,12:34,-7
12/27/2017,19805,701,West,Washington,Seattle,Philadelphia,16:21,15:41,-40,8:05,7:58,-7
12/27/2017,19790,761,West,Oregon,Portland,Atlanta,16:43,16:03,-40,9:00,8:54,-6
12/27/2017,19790,979,West,Washington,Seattle,Orlando,17:43,17:03,-40,9:15,9:13,-2
12/27/2017,19805,1047,West,California,San Francisco,Chicago,22:48,22:08,-40,16:30,16:21,-9
12/27/2017,19805,1070,West,Washington,Seattle,Miami,7:12,6:32,-40,22:30,22:30,0
12/27/2017,19790,1283,West,California,Los Angeles,Honolulu,12:28,11:48,-40,8:10,8:09,-1
12/27/2017,19977,1284,South,Texas,Houston,New York,22:34,21:54,-40,18:05,18:04,-1
12/27/2017,19790,1624,Midwest,Minnesota,Minneapolis,Atlanta,23:59,23:19,-40,20:15,20:14,-1
12/27/2017,19977,1685,West,Hawaii,Lihue,Denver,6:18,5:38,-40,20:30,20:13,-17
